,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateMothball,DateOut,lat,lon,EIC,projectID
189,Calder Hall 2,Nuclear,Steam Turbine,PP,GB,50,,,0,0,0,1957,1957,,2003,51.74194444,0.8975,,
190,Calder Hall 3,Nuclear,Steam Turbine,PP,GB,50,,,0,0,0,1958,1958,,2003,51.74194444,0.8975,,
191,Calder Hall 4,Nuclear,Steam Turbine,PP,GB,50,,,0,0,0,1959,1959,,2003,51.74194444,0.8975,,
192,Chapelcross 1,Nuclear,Steam Turbine,PP,GB,50,,,0,0,0,1959,1959,,2004,51.74194444,0.8975,,
193,Chapelcross 2,Nuclear,Steam Turbine,PP,GB,50,,,0,0,0,1959,1959,,2004,51.74194444,0.8975,,
194,Chapelcross 3,Nuclear,Steam Turbine,PP,GB,50,,,0,0,0,1959,1959,,2004,51.74194444,0.8975,,
195,Chapelcross 4,Nuclear,Steam Turbine,PP,GB,50,,,0,0,0,1960,1960,,2004,51.74194444,0.8975,,
196,Dounreay  DFR,Nuclear,Steam Turbine,PP,GB,14,,,0,0,0,1962,1962,,1977,51.74194444,0.8975,,
197,Dounreay  PFR,Nuclear,Steam Turbine,PP,GB,234,,,0,0,0,1975,1975,,1994,51.74194444,0.8975,,
198,Dungeness A1,Nuclear,Steam Turbine,PP,GB,225,,,0,0,0,1965,1965,,2006,50.91388889,0.963888889,,
199,Dungeness A2,Nuclear,Steam Turbine,PP,GB,225,,,0,0,0,1965,1965,,2006,50.91388889,0.963888889,,
200,Dungeness B1,Nuclear,Steam Turbine,PP,GB,545,,,0,0,0,1985,1985,,2021,50.91388889,0.963888889,,
201,Dungeness B2,Nuclear,Steam Turbine,PP,GB,545,,,0,0,0,1983,1983,,2021,50.91388889,0.963888889,,
202,Hartlepool A1,Nuclear,Steam Turbine,PP,GB,595,,,0,0,0,1983,1983,,2024,50.91388889,0.963888889,,
203,Hartlepool A2,Nuclear,Steam Turbine,PP,GB,595,,,0,0,0,1984,1984,,2024,50.91388889,0.963888889,,
204,Heysham A1,Nuclear,Steam Turbine,PP,GB,585,,,0,0,0,1983,1983,,2024,50.91388889,0.963888889,,
205,Heysham A2,Nuclear,Steam Turbine,PP,GB,575,,,0,0,0,1984,1984,,2024,50.91388889,0.963888889,,
206,Heysham B1,Nuclear,Steam Turbine,PP,GB,615,,,0,0,0,1988,1988,,2030,50.91388889,0.963888889,,
207,Heysham B2,Nuclear,Steam Turbine,PP,GB,615,,,0,0,0,1988,1988,,2030,50.91388889,0.963888889,,
208,Hinkley Point A1,Nuclear,Steam Turbine,PP,GB,235,,,0,0,0,1965,1965,,2000,50.91388889,0.963888889,,
209,Hinkley Point A2,Nuclear,Steam Turbine,PP,GB,235,,,0,0,0,1965,1965,,2000,50.91388889,0.963888889,,
210,Hinkley Point B1,Nuclear,Steam Turbine,PP,GB,430,,,0,0,0,1976,1976,,2022,50.91388889,0.963888889,,
211,Hinkley Point B2,Nuclear,Steam Turbine,PP,GB,430,,,0,0,0,1976,1976,,2022,50.91388889,0.963888889,,
