Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateMothball,DateOut,lat,lon,EIC,projectID,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
Turow B2,Lignite,lignite,PP,PL,235,0.36,,0,0,0,1998,,,2041,50.949,14.913,,,,,,,,,
Turow B3,Lignite,lignite,PP,PL,235,0.4,,0,0,0,2000,,,2041,50.949,14.913,,,,,,,,,
Maritsa East 2 unit 6,Lignite,lignite,PP,BG,232,0.32,,0,0,0,1985,,,2038,42.256,26.132,,,,,,,,,
Maritsa East 2 unit 7,Lignite,lignite,PP,BG,232,0.36,,0,0,0,1990,,,2038,42.256,26.132,,,,,,,,,
Maritsa East 2 unit 8,Lignite,lignite,PP,BG,232,0.36,,0,0,0,1995,,,2038,42.256,26.132,,,,,,,,,
Matra 4,Lignite,lignite,PP,HU,232,0.32,,0,0,0,1969,,,2027,47.79,20.064,,,,,,,,,
Matra 5,Lignite,lignite,PP,HU,232,0.32,,0,0,0,1969,,,2027,47.79,20.064,,,,,,,,,
Dolna Odra B7,Hard Coal,coal,PP,PL,232,0.32,,0,0,0,1976,,,2025,53.206,14.466,,,,,,,,,
Dolna Odra B8,Hard Coal,coal,PP,PL,232,0.32,,0,0,0,1977,,,2025,53.206,14.466,,,,,,,,,
Laziska B9,Hard Coal,coal,PP,PL,230,0.32,,0,0,0,1982,,,2041,50.134,18.847,,,,,,,,,
Kozienice B4,Hard Coal,coal,PP,PL,228,0.363,,0,0,0,1973,,,2025,51.665,21.467,,,,,,,,,
Kozienice B6,Hard Coal,coal,PP,PL,228,0.363,,0,0,0,1974,,,2027,51.665,21.467,,,,,,,,,
Kozienice B8,Hard Coal,coal,PP,PL,228,0.363,,0,0,0,1975,,,2027,51.665,21.467,,,,,,,,,
Kemerkoy 1,Lignite,lignite,PP,TR,228,0.36,,0,0,0,1994,,,2041,37.029,27.911,,,,,,,,,
Kemerkoy 2,Lignite,lignite,PP,TR,228,0.36,,0,0,0,1994,,,2041,37.029,27.911,,,,,,,,,
Kemerkoy 3,Lignite,lignite,PP,TR,228,0.36,,0,0,0,1995,,,2041,37.029,27.911,,,,,,,,,
Yatagan 1,Lignite,lignite,PP,TR,228,0.32,,0,0,0,1983,,,2041,37.331,28.1,,,,,,,,,
Yatagan 2,Lignite,lignite,PP,TR,228,0.32,,0,0,0,1983,,,2041,37.331,28.1,,,,,,,,,
Yatagan 3,Lignite,lignite,PP,TR,228,0.32,,0,0,0,1984,,,2041,37.331,28.1,,,,,,,,,
Yenikoy 1,Lignite,lignite,PP,TR,228,0.32,,0,0,0,1986,,,2041,37.138,27.885,,,,,,,,,
Yenikoy 2,Lignite,lignite,PP,TR,228,0.32,,0,0,0,1987,,,2033,37.138,27.885,,,,,,,,,
Ostroleka B3,Hard Coal,coal,PP,PL,226,0.32,,0,0,0,1972,,,2034,53.104,21.612,,,,,,,,,
Pljevlja,Lignite,lignite,PP,ME,225,0.32,,0,0,0,1982,,,2041,43.335,19.327,,,,,,,,,
Bitola 1,Lignite,lignite,PP,MK,225,0.32,,0,0,0,1982,,,2030,41.058,21.484,,,,,,,,,
Bitola 2,Lignite,lignite,PP,MK,225,0.32,,0,0,0,1984,,,2030,41.058,21.484,,,,,,,,,
Bitola 3,Lignite,lignite,PP,MK,225,0.32,,0,0,0,1988,,,2030,41.058,21.484,,,,,,,,,
Jaworzno 3 B1,Hard Coal,coal,PP,PL,225,0.459,,0,0,0,1977,,,2041,50.208,19.21,,,,,,,,,
Jaworzno 3 B2,Hard Coal,coal,PP,PL,225,0.459,,0,0,0,1977,,,2041,50.208,19.21,,,,,,,,,
Jaworzno 3 B3,Hard Coal,coal,PP,PL,225,0.459,,0,0,0,1977,,,2041,50.208,19.21,,,,,,,,,
Jaworzno 3 B4,Hard Coal,coal,PP,PL,225,0.459,,0,0,0,1977,,,2041,50.208,19.21,,,,,,,,,
Jaworzno 3 B6,Hard Coal,coal,PP,PL,225,0.459,,0,0,0,1979,,,2041,50.208,19.21,,,,,,,,,
Kozienice B2,Hard Coal,coal,PP,PL,225,0.363,,0,0,0,1973,,,2025,51.665,21.467,,,,,,,,,
Kozienice B3,Hard Coal,coal,PP,PL,225,0.363,,0,0,0,1973,,,2025,51.665,21.467,,,,,,,,,
Kozienice B5,Hard Coal,coal,PP,PL,225,0.363,,0,0,0,1973,,,2027,51.665,21.467,,,,,,,,,
Kozienice B7,Hard Coal,coal,PP,PL,225,0.363,,0,0,0,1974,,,2027,51.665,21.467,,,,,,,,,
Laziska B10,Hard Coal,coal,PP,PL,225,0.32,,0,0,0,1982,,,2041,50.134,18.847,,,,,,,,,
Laziska B11,Hard Coal,coal,PP,PL,225,0.32,,0,0,0,1982,,,2041,50.134,18.847,,,,,,,,,
Laziska B12,Hard Coal,coal,PP,PL,225,0.32,,0,0,0,1982,,,2041,50.134,18.847,,,,,,,,,
Polaniec B1,Hard Coal,coal,PP,PL,225,0.345,,0,0,0,1979,,,2041,50.438,21.337,,,,,,,,,
Rybnik B8,Hard Coal,coal,PP,PL,225,0.32,,0,0,0,1978,,,2027,50.133,18.524,,,,,,,,,
Kurakhov 6,Hard Coal,coal,PP,UA,225,0.32,,0,0,0,1973,,,2041,47.995,37.237,,,,,,,,,
Kurakhov 7,Hard Coal,coal,PP,UA,225,0.32,,0,0,0,1974,,,2041,47.995,37.237,,,,,,,,,
Kurakhov 8,Hard Coal,coal,PP,UA,225,0.32,,0,0,0,1974,,,2041,47.995,37.237,,,,,,,,,
Kurakhov 9,Hard Coal,coal,PP,UA,225,0.32,,0,0,0,1975,,,2041,47.995,37.237,,,,,,,,,
Dolna Odra B5,Hard Coal,coal,PP,PL,222,0.32,,0,0,0,1975,,,2025,53.206,14.466,,,,,,,,,
Dolna Odra B6,Hard Coal,coal,PP,PL,222,0.32,,0,0,0,1976,,,2025,53.206,14.466,,,,,,,,,
Kurakhov 5,Hard Coal,coal,PP,UA,222,0.32,,0,0,0,1973,,,2041,47.995,37.237,,,,,,,,,
Ostroleka B1,Hard Coal,coal,PP,PL,221,0.32,,0,0,0,1972,,,2041,53.104,21.612,,,,,,,,,
Matra 3,Lignite,lignite,PP,HU,220,0.32,,0,0,0,1969,,,2027,47.79,20.064,,,,,,,,,
Jaworzno 3 B5,Hard Coal,coal,PP,PL,220,0.459,,0,0,0,1977,,,2041,50.208,19.21,,,,,,,,,
Rybnik B7,Hard Coal,coal,PP,PL,220,0.32,,0,0,0,1978,,,2027,50.133,18.524,,,,,,,,,
Kozienice B1,Hard Coal,coal,PP,PL,215,0.363,,0,0,0,1972,,,2025,51.665,21.467,,,,,,,,,
Rybnik B5,Hard Coal,coal,PP,PL,215,0.32,,0,0,0,1978,,,2026,50.133,18.524,,,,,,,,,
Rybnik B6,Hard Coal,coal,PP,PL,215,0.32,,0,0,0,1978,,,2026,50.133,18.524,,,,,,,,,
Burshtyn 5,Hard Coal,coal,PP,UA,215,0.32,,0,0,0,1967,,,2041,49.21,24.667,,,,,,,,,
Bobov Dol 1,Lignite,lignite,PP,BG,210,0.32,,0,0,0,1973,,,2038,42.285,23.034,,,,,,,,,
Bobov Dol 2,Lignite,lignite,PP,BG,210,0.32,,0,0,0,1974,,,2038,42.285,23.034,,,,,,,,,
Bobov Dol 3,Lignite,lignite,PP,BG,210,0.32,,0,0,0,1975,,,2038,42.285,23.034,,,,,,,,,
Maritsa East 2 unit 5,Lignite,lignite,PP,BG,210,0.32,,0,0,0,1985,,,2038,42.256,26.132,,,,,,,,,
Plomin 2,Hard Coal,coal,PP,HR,210,0.4,,0,0,0,2000,,,2033,45.137,14.163,,,,,,,,,
Kosovo A 5,Lignite,lignite,PP,XK,210,0.32,,0,0,0,1975,,,2041,42.677,21.086,,,,,,,,,
Kostolac A 2,Lignite,lignite,PP,RS,210,0.32,,0,0,0,1980,,,2041,44.724,21.172,,,,,,,,,
Nikola Tesla A 1,Lignite,lignite,PP,RS,210,0.32,,0,0,0,1970,,,2041,44.671,20.158,,,,,,,,,
Nikola Tesla A 2,Lignite,lignite,PP,RS,210,0.32,,0,0,0,1970,,,2041,44.671,20.158,,,,,,,,,
